author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,#已读,uuid
"克里斯托弗·凯利","克里斯托弗·凯利","","/Users/zxy/Calibre Library/Ke Li Si Tuo Fu _Kai Li/Bai Ke Tong Shi Wen Ku _Luo Ma Di Guo Jian Shi (26)/cover.jpg","2020-11-02T13:08:25+08:00","chm, epub, mobi, pdf, txt","","26","mobi-asin:e08f8a83-042f-4d85-9b6c-6d83f6b833ab","zho","Calibre Library","2015-08-01T00:00:00+08:00","外语教学与研究出版社","","","1.0","14877460","","百科通识文库：罗马帝国简史","百科通识文库：罗马帝国简史","","f60e2351-8503-42b6-a3ed-29d12dffdb67"
"Roberts, Jennifer T.","Roberts, Jennifer T.","","/Users/zxy/Calibre Library/Roberts, Jennifer T_/index (27)/cover.jpg","2020-11-02T13:08:28+08:00","epub, mobi, pdf","","27","mobi-asin:124c6162-a636-4610-bee0-87f63d312fd1","zho","Calibre Library","2012-04-19T00:07:06+08:00","Oxford University Press","","","1.0","41582678","","index","index","","da90c67d-ec15-491c-80ed-f84d06daab43"
"佩雷菲特","佩雷菲特","1793年英国使者马戛尔尼到访中国，这次出使在历史上最大的争论是：英国使者有没有向乾隆皇帝下跪磕头？…… 本书作者佩雷菲特从世界史的角度，将此次出使作为东方与西方的首次撞击来考察，于是，视野开阔了，可供思考的素材也就相应丰富起来。  
在作者眼中，这次英国人的出使实质意味着当时的“天下唯一的文明国家 ”面对“世界最强大的国家”…… 本书以详实的史实，有趣的细节，精彩的笔致，揭示中西文明巨大差异和冲突。  
二百年前，大英帝国从给乾隆祝寿为名向中国派出了马戛尔尼勋爵率领的庞大使团，英国此举意图同清政府谈判以改善两国的贸易，而中国方面由于文化背景与政治观念不同，认为英国里仰慕中华文明才遣使臣远涉重洋为皇上祝寿的，这场聋子之对话尚未开始就注定失败了。学术界争论已久的马戛尔尼觐见时是否下跪的问题并不单纯是一场礼仪之争，而是两种文明的撞击，具有深刻的象征意义。 法国作家阿兰·佩雷菲特先生就这一主题在1989年5月出版了《停滞的帝国》一书。该书一出版就进入畅销书行列，半年内就售出了20万册。
","/Users/zxy/Calibre Library/Pei Lei Fei Te/Ting Zhi De Di Guo _Liang Ge Shi Jie De Zhuang Ji (28)/cover.jpg","2020-11-02T13:08:29+08:00","epub, mobi, pdf, txt","9787108026934","28","douban:2173201,isbn:9787108026934,google:BbCbJwAACAAJ,mobi-asin:ba761456-e0bf-4abd-ab7a-fe31b1a6e995","zho","Calibre Library","2007-10-15T00:00:00+08:00","三联书店","4","","1.0","16400412","文化, 历史, 停滞的帝国, 中国历史, 海外中国研究, 歷史軍事, 中国, 佩雷菲特, 汉学","停滞的帝国：两个世界的撞击","停滞的帝国：两个世界的撞击","","e6028440-a158-45bb-8351-d651407dbd2b"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/untitled (29)/cover.jpg","2020-11-02T13:08:31+08:00","pdf","","29","","","Calibre Library","2005-07-07T20:52:56+08:00","","","","1.0","23105922","","untitled","untitled","","03f79447-d950-4363-8402-1bae67938f8d"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Sui Tang Shi  (Sao Miao Ban ) (30)/cover.jpg","2020-11-02T13:08:31+08:00","pdf","","30","","","Calibre Library","2007-05-03T22:13:41+08:00","","","","1.0","32446631","","隋唐史 (扫描版)","隋唐史 (扫描版)","","66baa1e8-766f-4564-9fcc-e7334dba7e91"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Di 3Juan  Di Guo De Nian Dai (1875~1914) (31)/cover.jpg","2020-11-02T13:08:32+08:00","pdf","","31","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","9886347","","第3卷 帝国的年代（1875~1914）","第3卷 帝国的年代（1875~1914）","","6672ec09-42cb-4e20-9314-4c7945266600"
"()·","()·",":","/Users/zxy/Calibre Library/()_/Jia Lei De _Dai Meng De _Qiang Pao , Bing Jun Yu Gang Tie ----Ren Lei She Hui De Ming Yun (32)/cover.jpg","2020-11-02T13:08:32+08:00","chm, epub, mobi, pdf","","32","","zho","Calibre Library","2009-05-31T00:00:00+08:00","epub","","","1.0","4405464","·","贾雷德·戴蒙德：枪炮、病菌与钢铁——人类社会的命运","贾雷德·戴蒙德：枪炮、病菌与钢铁——人类社会的命运","","bfdec439-416e-444b-ba99-57f4a90f4444"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Le Nei _Ge Lu Sai _Meng Gu Di Guo Shi  (Sao Miao Ban ) (33)/cover.jpg","2020-11-02T13:08:34+08:00","pdf","","33","","","Calibre Library","2006-06-12T09:24:22+08:00","","","","1.0","19589821","","勒内·格鲁塞：蒙古帝国史 (扫描版)","勒内·格鲁塞：蒙古帝国史 (扫描版)","","a703d77e-992c-4cb2-8c10-2b107681bdb2"
"[英]罗杰·克劳利","[英]罗杰·克劳利","","/Users/zxy/Calibre Library/[Ying ]Luo Jie _Ke Lao Li/Zheng Fu Zhe _Pu Tao Ya Di Guo Jue Qi (34)/cover.jpg","2020-11-02T13:08:35+08:00","epub","978-7-5097-9594-1","34","isbn:978-7-5097-9594-1","zho","Calibre Library","2016-12-01T00:00:00+08:00","社会科学文献出版社","","","1.0","16278201","","征服者：葡萄牙帝国崛起","征服者：葡萄牙帝国崛起","","20c38544-e4de-425c-bed7-835f4c77e0f8"
"(美)黄仁宇","(美)黄仁宇","test","/Users/zxy/Calibre Library/(Mei )Huang Ren Yu/Zhong Guo Da Li Shi (35)/cover.jpg","2020-11-02T13:08:40+08:00","chm, epub, mobi, pdf, txt, zip","","35","mobi-asin:0a071508-bb14-4056-b4d1-d8cf510e5bc2,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub","zho","Calibre Library","2010-12-24T00:00:00+08:00","test","","","1.0","2583282","test, ibook.178.com","中国大历史","中国大历史","","469741f9-7976-4269-a616-24ad3c6a972e"
"茅海建","茅海建","","/Users/zxy/Calibre Library/Mao Hai Jian/Tian Zhao De Beng Kui _Ya Pian Zhan Zheng Zai Yan Jiu (36)/cover.jpg","2020-11-02T13:08:47+08:00","epub, mobi, pdf, txt","","36","","eng","Calibre Library","2014-05-11T00:00:00+08:00","生活读书新知三联书店","","","1.0","4685272","","天朝的崩溃：鸦片战争再研究","天朝的崩溃：鸦片战争再研究","","09764718-60c5-4efc-99c2-04c9872201cc"
"人民日报社《环球时报》编创","人民日报社《环球时报》编创","","/Users/zxy/Calibre Library/Ren Min Ri Bao She __Huan Qiu Shi Bao __ Bian Chuang/Di Qiu Wei Qiang Zhe Zhuan Dong (37)/cover.jpg","2020-11-02T13:08:52+08:00","pdf","","37","","","Calibre Library","2010-09-10T13:47:34+08:00","","","","1.0","18266480","","地球为强者转动","地球为强者转动","","c89ac849-af43-41ff-bcb1-5fa28cfbdd40"
"M.）著；刘世龙等译, （美）麦克弗森（Mcpherson，James","（美）麦克弗森（Mcpherson，James M.）著；刘世龙等译","","/Users/zxy/Calibre Library/(Mei )Mai Ke Fu Sen (Mcpherson,James M.)Zhu ;Liu Shi Long Deng Yi/Huo De Kao Yan  Mei Guo Nan Bei Zhan Zheng Ji Zhong Jian Nan Bu  Xia (38)/cover.jpg","2020-11-02T13:08:52+08:00","pdf, txt","","38","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","15411513","","火的考验 美国南北战争及重建南部 下","火的考验 美国南北战争及重建南部 下","","d63bcca0-e323-4e51-8976-ba3772ee65f8"
"Schnabel, James F.","James F. Schnabel","Army, History, Korean War, Korea","/Users/zxy/Calibre Library/James F. Schnabel/Policy and Direction_ The First Year (39)/cover.jpg","2020-11-02T13:08:53+08:00","pdf","","39","","","Calibre Library","2011-05-25T03:18:39+08:00","","","","1.0","20594406","This volume describes the initial direction and strategy of the first major, though limited war that the United States was to fight on the continent of, Asia in the era of global tension that followed World War II. There are, marked similarities as well as some basic differences between the war in Korea, and the war that would follow a decade later in Southeast Asia, and certainly, the study of both is necessary to understand the limitations on armed conflict, under the shadow of nuclear holocaust. One can also discern in this volume, the importance of individuals in altering the course of human events and the, fate of nations, the wider concerns that preclude the massing by a world, power of its military strength in one direction, and many other facets of the, nation's recent military history it behooves all thoughtful Americans to, ponder., Colonel Schnabel's work is the third to appear in a planned 5-volume, history of the United States Army in the Korean War. It complements the, detailed account of operations from June to November 1950, South to the, Naktong, North to the Yalu, published in 1961, and the sequel to it still in, preparation that will cover tactical operations through June 1951. The, volume entitled Truce Tent and Fighting Front, published in 1966, covers, the last two years of the war, and a logistical history of the Korean conflict, is also scheduled to appear., Both military and civilian students and the scholarly reading public, should find in this book much that is illuminating and provocative of reflection, and not only about events that happened more than two decades ago.","Policy and Direction: The First Year","Policy and Direction: The First Year","","2ae08815-4f74-4d7f-a6d9-028fa521fc04"
"美 & 罗伊·E·阿普尔","美 & 罗伊·E·阿普尔","","/Users/zxy/Calibre Library/Mei/Mei Guo Bing Zai Zhao Xian (Di San Juan )Nan Zhi Luo (40)/cover.jpg","2020-11-02T13:08:54+08:00","pdf","","40","","","Calibre Library","2010-01-01T10:31:22+08:00","","","","1.0","38835610","","美国兵在朝鲜（第三卷）南至洛","美国兵在朝鲜（第三卷）南至洛","","2a35c95a-b301-4867-a42e-f1f6dc069df3"
"沈志华","沈志华","《毛泽东、斯大林与朝鲜战争（珍藏本）》第一章讲述战后苏联的对外政策及其变化，重点在斯大林的对华政策和对朝政策，说明在保障苏联的远东战略利益的条件下，斯大林希望东北亚地区保持稳定状态，以维持根据雅尔塔协定所形成的国际体系和地缘结构。  第二章讲述中苏同盟建立特别是中苏同盟条约签订的过程，重点在于说明，中苏条约谈判的结果与以往人们的理解不同，主要不是毛泽东在莫斯科受到了冷遇和屈辱，而是斯大林被迫对中国做出了重大让步。这一让步，将导致苏联失去在太平洋的出海口和不冻港，使其在远东乃至亚洲的战略利益受到严重损害。正是在这种背景下，斯大林开始改变了对朝鲜半岛的政策。  第三章讲述朝鲜战争爆发的全过程，主要是斯大林对金日成想要用武力方式统一朝鲜半岛这一计划从反对到支持的转变过程。与第二版夹叙夹议的写法不同，这里的重点首先是对历史过程的叙述，而在最后一节集中讨论斯大林同意和支持金日成的决策动机。这一节完全是新写的，分析了以往研究者在这一问题上所作推断的逻辑漏洞或史实错误，并进一步论证了笔者自己的推断——斯大林同意发动朝鲜战争的主要目的在于维护和保证苏联在远东的战略利益。  第四章讲述中国出兵朝鲜的全过程，并根据不同的背景把这一过程分为六个阶段，分析了中国出兵的客观条件的变化，以及由于条件变化而导致的毛泽东所设定的行动目标的变化。同前一章一样，这里的重点也是历史叙事，而在最后一节集中讨论毛泽东决策出兵的动机。从条件和目标的变化可以看出，毛泽东的决策动机是多重的，并且有所变化，既有表面的，也有内在的，有的是临时处置，有的则贯穿始终。从总体上讲，中国出兵朝鲜是为了保持中苏同盟的有效政治态势，从而在根本上保障新政权的稳定和发展。这一节基本上也是新写的。  第五章讲述中苏同盟在战争中得到巩固和加强的方方面面，特别是在战略决策层面中国与朝鲜之间发生的诸多分歧和矛盾中，斯大林都支持了毛泽东，这说明毛泽东的出兵决策实现了其根本目标。因此，这个决策是必须的，也是正确的，虽然带有一定的风险。  余论讨论中国在1951年初拒绝联合国停火议案的问题。这是作者的最新研究成果，意在说明中国在朝鲜战争中的战略性失误并不在于出兵朝鲜的决策，而在于没有适时收兵，在最有利的条件下结束这场战争，并因此付出了本来可以避免的过于沉重的代价。","/Users/zxy/Calibre Library/Chen Zhi Hua/Mao Ze Dong , Si Da Lin Yu Zhao Xian Zhan Zheng (41)/cover.jpg","2020-11-02T13:08:54+08:00","epub, mobi, pdf","","41","mobi-asin:ec59cea6-82fa-4885-8fd8-30accb9a9e70","zho","Calibre Library","2015-02-12T00:00:00+08:00","blah.me","","","1.0","656852","历史","毛泽东、斯大林与朝鲜战争","毛泽东、斯大林与朝鲜战争","","fe46c455-b607-48af-a6f9-7279c2b18453"
"基辛格","基辛格","","/Users/zxy/Calibre Library/Ji Xin Ge/Ji Xin Ge Yue Zhan Hui Yi Lu (42)/cover.jpg","2020-11-02T13:08:57+08:00","epub, pdf, zip","","42","","zho","Calibre Library","2013-01-14T00:00:00+08:00","epub掌上书苑","","","1.0","4982537","","基辛格越战回忆录","基辛格越战回忆录","","88e5148e-c788-45a7-aebf-c255c10bc3d0"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Mei Guo Guo Fang Bu _Mei Jun Sheng Cun Shou Ce  (Sao Miao Ban ) (43)/cover.jpg","2020-11-02T13:09:00+08:00","pdf","","43","","","Calibre Library","2013-02-01T11:22:46+08:00","","","","1.0","91901740","","美国国防部：美军生存手册 (扫描版)","美国国防部：美军生存手册 (扫描版)","","9da9c48c-29d0-4908-8e6e-c251b30f66ae"
"Administrator","Administrator","","/Users/zxy/Calibre Library/Administrator/Xi Ji Zhen Zhu Gang _10350275.uvz (44)/cover.jpg","2020-11-02T13:09:00+08:00","pdf, txt","","44","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","8835963","","袭击珍珠港_10350275.uvz","袭击珍珠港_10350275.uvz","","4706e8d2-293e-4e3b-ad1c-818582081b3e"
"Leffler, Melvyn P.","Leffler, Melvyn P.","","/Users/zxy/Calibre Library/Leffler, Melvyn P_/For the Soul of Mankind_ The United States, the Soviet Union, and the Cold War (45)/cover.jpg","2020-11-02T13:09:02+08:00","epub, pdf, txt","","45","","eng","Calibre Library","2008-09-02T06:00:00+08:00","Farrar, Straus and Giroux","","","1.0","34462163","","For the Soul of Mankind: The United States, the Soviet Union, and the Cold War","For the Soul of Mankind: The United States, the Soviet Union, and the Cold War","","7d56d899-d698-4b30-9d29-442069060654"
"Collins, Larry & Lapierre, Dominique","Collins, Larry & Lapierre, Dominique","Dominique LaPierre Hitler's death sentence to the city of Paris in 1944 nearly happened. An extraordinary series of events, fastidiously researched here, saved the city from what Hitler wanted to leave to the Allies ""nothing but a field of ruins.""
","/Users/zxy/Calibre Library/Collins, Larry/Is Paris Burning_ (46)/cover.jpg","2020-11-02T13:09:04+08:00","epub, pdf, txt","","46","mobi-asin:B00B8YKTVW","eng","Calibre Library","2013-01-30T16:00:00+08:00","Renaissance Literary & Talent in collaboration with the Author","","","1.0","46830365","Non Fiction, History, World War II, Paris","Is Paris Burning?","Is Paris Burning?","","e7471962-08e2-4266-b9db-888706544a0c"
